carbon_city,carbon_county,carbon_mean,carbon_method,carbon_site,carbon_date
Redwood City,San Mateo,0.426087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-27
Redwood City,San Mateo,0.434783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-28
Redwood City,San Mateo,0.552174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-29
Redwood City,San Mateo,0.552174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-30
Redwood City,San Mateo,0.678261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-01-31
Redwood City,San Mateo,0.643478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-01
Redwood City,San Mateo,0.352174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-02
Redwood City,San Mateo,0.404348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-03
Redwood City,San Mateo,0.4,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-04
Redwood City,San Mateo,0.608696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-05
Redwood City,San Mateo,0.647826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-06
Redwood City,San Mateo,0.66087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-07
Redwood City,San Mateo,0.426087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-08
Redwood City,San Mateo,0.395455,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-09
Redwood City,San Mateo,0.604348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-10
Redwood City,San Mateo,0.677778,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-11
Redwood City,San Mateo,0.678261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-12
Redwood City,San Mateo,0.469565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-13
Redwood City,San Mateo,0.447826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-14
Redwood City,San Mateo,0.521739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-15
Redwood City,San Mateo,0.365217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-16
Redwood City,San Mateo,0.534783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-17
Redwood City,San Mateo,0.472727,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-18
Redwood City,San Mateo,0.486957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-19
Redwood City,San Mateo,0.526087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-20
Redwood City,San Mateo,0.543478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-21
Redwood City,San Mateo,0.369565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-22
Redwood City,San Mateo,0.252174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-23
Redwood City,San Mateo,0.426087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-24
Redwood City,San Mateo,0.495652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-25
Redwood City,San Mateo,0.530435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-26
Redwood City,San Mateo,0.578261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-27
Redwood City,San Mateo,0.504348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-28
Redwood City,San Mateo,0.242105,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-02-29
Redwood City,San Mateo,0.26087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-01
Redwood City,San Mateo,0.295,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-02
Redwood City,San Mateo,0.459091,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-03
Redwood City,San Mateo,0.428571,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-04
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-05
Redwood City,San Mateo,0.213043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-06
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-07
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-08
Redwood City,San Mateo,0.409091,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-09
Redwood City,San Mateo,0.354545,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-10
Redwood City,San Mateo,0.356522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-11
Redwood City,San Mateo,0.382609,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-12
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-13
Redwood City,San Mateo,0.273913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-14
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-15
Redwood City,San Mateo,0.308696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-16
Redwood City,San Mateo,0.343478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-17
Redwood City,San Mateo,0.330435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-18
Redwood City,San Mateo,0.321739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-19
Redwood City,San Mateo,0.356522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-20
Redwood City,San Mateo,0.347826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-21
Redwood City,San Mateo,0.356522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-22
Redwood City,San Mateo,0.330435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-23
Redwood City,San Mateo,0.33913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-24
Redwood City,San Mateo,0.343478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-25
Redwood City,San Mateo,0.338095,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-26
Redwood City,San Mateo,0.308696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-27
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-28
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-29
Redwood City,San Mateo,0.334783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-30
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-03-31
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-01
Redwood City,San Mateo,0.334783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-02
Redwood City,San Mateo,0.330435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-03
Redwood City,San Mateo,0.308696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-04
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-05
Redwood City,San Mateo,0.391304,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-06
Redwood City,San Mateo,0.352174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-07
Redwood City,San Mateo,0.326087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-08
Redwood City,San Mateo,0.314286,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-09
Redwood City,San Mateo,0.286957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-10
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-11
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-12
Redwood City,San Mateo,0.304348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-13
Redwood City,San Mateo,0.317391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-14
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-15
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-16
Redwood City,San Mateo,0.213043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-17
Redwood City,San Mateo,0.221739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-18
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-19
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-20
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-21
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-22
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-23
Redwood City,San Mateo,0.330435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-24
Redwood City,San Mateo,0.304348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-25
Redwood City,San Mateo,0.26087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-26
Redwood City,San Mateo,0.308696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-27
Redwood City,San Mateo,0.321739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-28
Redwood City,San Mateo,0.261905,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-29
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-04-30
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-01
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-02
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-03
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-04
Redwood City,San Mateo,0.245455,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-05
Redwood City,San Mateo,0.286957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-06
Redwood City,San Mateo,0.321739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-07
Redwood City,San Mateo,0.304348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-08
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-09
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-10
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-11
Redwood City,San Mateo,0.234783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-12
Redwood City,San Mateo,0.234783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-13
Redwood City,San Mateo,0.26087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-14
Redwood City,San Mateo,0.252174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-15
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-16
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-17
Redwood City,San Mateo,0.211111,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-18
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-19
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-20
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-21
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-22
Redwood City,San Mateo,0.182609,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-23
Redwood City,San Mateo,0.213043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-24
Redwood City,San Mateo,0.243478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-25
Redwood City,San Mateo,0.269565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-26
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-27
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-28
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-29
Redwood City,San Mateo,0.186957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-30
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-05-31
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-01
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-02
Redwood City,San Mateo,0.273913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-03
Redwood City,San Mateo,0.252174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-04
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-05
Redwood City,San Mateo,0.191304,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-06
Redwood City,San Mateo,0.152174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-07
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-08
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-09
Redwood City,San Mateo,0.230435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-10
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-11
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-12
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-13
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-14
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-15
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-16
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-17
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-18
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-19
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-20
Redwood City,San Mateo,0.204348,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-21
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-22
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-23
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-24
Redwood City,San Mateo,0.230435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-25
Redwood City,San Mateo,0.269565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-26
Redwood City,San Mateo,0.221739,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-27
Redwood City,San Mateo,0.2,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-28
Redwood City,San Mateo,0.227273,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-29
Redwood City,San Mateo,0.252381,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-06-30
Redwood City,San Mateo,0.236364,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-01
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-02
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-03
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-04
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-05
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-06
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-07
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-08
Redwood City,San Mateo,0.252174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-09
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-10
Redwood City,San Mateo,0.269565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-11
Redwood City,San Mateo,0.230435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-12
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-13
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-14
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-15
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-16
Redwood City,San Mateo,0.278261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-17
Redwood City,San Mateo,0.282609,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-18
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-19
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-20
Redwood City,San Mateo,0.243478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-21
Redwood City,San Mateo,0.208696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-22
Redwood City,San Mateo,0.213043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-23
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-24
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-25
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-26
Redwood City,San Mateo,0.278261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-27
Redwood City,San Mateo,0.256522,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-28
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-29
Redwood City,San Mateo,0.257143,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-30
Redwood City,San Mateo,0.252174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-07-31
Redwood City,San Mateo,0.23913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-01
Redwood City,San Mateo,0.217391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-02
Redwood City,San Mateo,0.278261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-03
Redwood City,San Mateo,0.285714,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-04
Redwood City,San Mateo,0.226087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-05
Redwood City,San Mateo,0.247826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-06
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-07
Redwood City,San Mateo,0.3,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-08
Redwood City,San Mateo,0.295652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-09
Redwood City,San Mateo,0.278261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-10
Redwood City,San Mateo,0.265217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-11
Redwood City,San Mateo,0.273913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-12
Redwood City,San Mateo,0.334783,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-13
Redwood City,San Mateo,0.347826,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-14
Redwood City,San Mateo,0.278261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-15
Redwood City,San Mateo,0.295652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-16
Redwood City,San Mateo,0.313043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-17
Redwood City,San Mateo,0.486957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-18
Redwood City,San Mateo,0.573913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-19
Redwood City,San Mateo,0.269565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-20
Redwood City,San Mateo,0.352174,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-21
Redwood City,San Mateo,0.43913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-22
Redwood City,San Mateo,0.508696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-23
Redwood City,San Mateo,0.517391,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-24
Redwood City,San Mateo,0.569565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-25
Redwood City,San Mateo,0.342857,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-26
Redwood City,San Mateo,0.343478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-27
Redwood City,San Mateo,0.591304,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-28
Redwood City,San Mateo,0.626087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-29
Redwood City,San Mateo,0.465217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-30
Redwood City,San Mateo,0.473684,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-08-31
Redwood City,San Mateo,0.469565,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-01
Redwood City,San Mateo,0.595652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-02
Redwood City,San Mateo,0.36087,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-03
Redwood City,San Mateo,0.386957,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-04
Redwood City,San Mateo,0.473913,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-05
Redwood City,San Mateo,0.630435,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-06
Redwood City,San Mateo,0.478261,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-07
Redwood City,San Mateo,0.391304,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-08
Redwood City,San Mateo,0.543478,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-09
Redwood City,San Mateo,0.965217,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-10
Redwood City,San Mateo,1.308696,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-11
Redwood City,San Mateo,1.295652,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-12
Redwood City,San Mateo,1.413043,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-13
Redwood City,San Mateo,1.209524,INSTRUMENTAL - NONDISPERSIVE INFRARED,1001,2020-09-14
