nitrogen_city,nitrogen_county,nitrogen_mean,nitrogen_method,nitrogen_site,nitrogen_date
Redwood City,San Mateo,1.317391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-19
Redwood City,San Mateo,1.295652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-20
Redwood City,San Mateo,1.7,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-21
Redwood City,San Mateo,3.943478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-22
Redwood City,San Mateo,3.938095,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-23
Redwood City,San Mateo,6.456522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-24
Redwood City,San Mateo,3.769565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-25
Redwood City,San Mateo,1.678261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-26
Redwood City,San Mateo,3.947826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-27
Redwood City,San Mateo,2.283333,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-29
Redwood City,San Mateo,4.413043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-13
Redwood City,San Mateo,2.869565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-28
Redwood City,San Mateo,2.882609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-04-30
Redwood City,San Mateo,3.765217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-01
Redwood City,San Mateo,1.334783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-02
Redwood City,San Mateo,1.817391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-03
Redwood City,San Mateo,5.913043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-04
Redwood City,San Mateo,3.772727,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-05
Redwood City,San Mateo,5.743478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-06
Redwood City,San Mateo,7.943478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-07
Redwood City,San Mateo,6.708696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-08
Redwood City,San Mateo,2.395652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-09
Redwood City,San Mateo,1.204348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-10
Redwood City,San Mateo,2.652174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-11
Redwood City,San Mateo,1.882609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-12
Redwood City,San Mateo,2.404348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-14
Redwood City,San Mateo,2.852174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-13
Redwood City,San Mateo,2.695652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-15
Redwood City,San Mateo,1.630435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-16
Redwood City,San Mateo,0.33913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-17
Redwood City,San Mateo,2.0,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-18
Redwood City,San Mateo,3.23913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-19
Redwood City,San Mateo,2.365217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-20
Redwood City,San Mateo,3.526087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-21
Redwood City,San Mateo,3.686957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-23
Redwood City,San Mateo,3.456522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-22
Redwood City,San Mateo,3.378261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-24
Redwood City,San Mateo,5.204348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-25
Redwood City,San Mateo,6.430435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-26
Redwood City,San Mateo,5.2,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-27
Redwood City,San Mateo,4.043478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-28
Redwood City,San Mateo,2.213043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-29
Redwood City,San Mateo,1.343478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-30
Redwood City,San Mateo,1.621739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-05-31
Redwood City,San Mateo,3.486957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-01
Redwood City,San Mateo,5.217391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-02
Redwood City,San Mateo,7.278261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-03
Redwood City,San Mateo,5.030435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-04
Redwood City,San Mateo,1.973913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-05
Redwood City,San Mateo,0.817391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-06
Redwood City,San Mateo,0.882609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-07
Redwood City,San Mateo,4.791304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-08
Redwood City,San Mateo,4.595652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-09
Redwood City,San Mateo,4.204348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-10
Redwood City,San Mateo,2.530435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-11
Redwood City,San Mateo,1.53913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-12
Redwood City,San Mateo,1.021739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-13
Redwood City,San Mateo,1.626087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-14
Redwood City,San Mateo,2.791304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-15
Redwood City,San Mateo,2.430435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-16
Redwood City,San Mateo,5.06087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-17
Redwood City,San Mateo,7.26087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-18
Redwood City,San Mateo,4.93913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-19
Redwood City,San Mateo,1.813043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-20
Redwood City,San Mateo,2.026087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-21
Redwood City,San Mateo,2.726087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-22
Redwood City,San Mateo,3.126087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-23
Redwood City,San Mateo,3.291304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-24
Redwood City,San Mateo,2.895652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-25
Redwood City,San Mateo,2.869565,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-26
Redwood City,San Mateo,2.091304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-27
Redwood City,San Mateo,1.486957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-28
Redwood City,San Mateo,3.731818,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-29
Redwood City,San Mateo,5.257143,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-06-30
Redwood City,San Mateo,3.377273,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-01
Redwood City,San Mateo,3.06087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-02
Redwood City,San Mateo,4.747826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-03
Redwood City,San Mateo,3.091304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-05
Redwood City,San Mateo,3.617391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-04
Redwood City,San Mateo,2.843478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-06
Redwood City,San Mateo,4.121739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-07
Redwood City,San Mateo,3.826087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-08
Redwood City,San Mateo,4.126087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-09
Redwood City,San Mateo,4.782609,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-10
Redwood City,San Mateo,4.634783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-11
Redwood City,San Mateo,3.186957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-12
Redwood City,San Mateo,3.030435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-13
Redwood City,San Mateo,2.708696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-14
Redwood City,San Mateo,3.013043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-15
Redwood City,San Mateo,3.013043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-16
Redwood City,San Mateo,3.308696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-17
Redwood City,San Mateo,2.66087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-18
Redwood City,San Mateo,1.695652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-19
Redwood City,San Mateo,2.778261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-20
Redwood City,San Mateo,2.508696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-21
Redwood City,San Mateo,1.756522,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-22
Redwood City,San Mateo,2.526087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-23
Redwood City,San Mateo,2.908696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-24
Redwood City,San Mateo,2.730435,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-25
Redwood City,San Mateo,2.578261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-26
Redwood City,San Mateo,3.691304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-27
Redwood City,San Mateo,4.678261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-28
Redwood City,San Mateo,2.947619,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-30
Redwood City,San Mateo,4.147826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-29
Redwood City,San Mateo,3.304348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-07-31
Redwood City,San Mateo,3.178261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-01
Redwood City,San Mateo,2.217391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-02
Redwood City,San Mateo,3.634783,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-03
Redwood City,San Mateo,2.928571,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-04
Redwood City,San Mateo,1.247826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-05
Redwood City,San Mateo,2.373913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-06
Redwood City,San Mateo,5.191304,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-07
Redwood City,San Mateo,3.626087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-08
Redwood City,San Mateo,2.943478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-09
Redwood City,San Mateo,3.665217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-10
Redwood City,San Mateo,2.986957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-11
Redwood City,San Mateo,3.821739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-12
Redwood City,San Mateo,8.486957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-13
Redwood City,San Mateo,9.673913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-14
Redwood City,San Mateo,6.704348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-15
Redwood City,San Mateo,5.273913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-16
Redwood City,San Mateo,8.1,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-17
Redwood City,San Mateo,9.321739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-18
Redwood City,San Mateo,9.804348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-19
Redwood City,San Mateo,4.547826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-20
Redwood City,San Mateo,3.8,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-21
Redwood City,San Mateo,5.517391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-22
Redwood City,San Mateo,5.408696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-23
Redwood City,San Mateo,7.086957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-24
Redwood City,San Mateo,4.804348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-25
Redwood City,San Mateo,3.714286,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-26
Redwood City,San Mateo,3.743478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-27
Redwood City,San Mateo,5.786957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-28
Redwood City,San Mateo,4.8,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-29
Redwood City,San Mateo,3.813043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-30
Redwood City,San Mateo,5.352632,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-08-31
Redwood City,San Mateo,5.43913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-01
Redwood City,San Mateo,4.295652,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-02
Redwood City,San Mateo,4.413043,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-03
Redwood City,San Mateo,6.208696,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-04
Redwood City,San Mateo,10.204348,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-05
Redwood City,San Mateo,10.678261,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-06
Redwood City,San Mateo,8.965217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-07
Redwood City,San Mateo,9.43913,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-08
Redwood City,San Mateo,9.86087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-09
Redwood City,San Mateo,10.752174,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-10
Redwood City,San Mateo,12.265217,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-11
Redwood City,San Mateo,8.4,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-12
Redwood City,San Mateo,5.143478,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-13
Redwood City,San Mateo,6.619048,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-14
Redwood City,San Mateo,6.86087,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-15
Redwood City,San Mateo,4.347826,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-16
Redwood City,San Mateo,3.821739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-17
Redwood City,San Mateo,4.586957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-18
Redwood City,San Mateo,5.086957,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-19
Redwood City,San Mateo,5.821739,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-20
Redwood City,San Mateo,7.880952,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-21
Redwood City,San Mateo,6.222222,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-22
Redwood City,San Mateo,5.717391,INSTRUMENTAL - CHEMILUMINESCENCE,1001,2020-09-23
