,city,month,nitrogen median
73,Salinas,2020-02-01,10.443478
79,Salinas,2020-08-01,4.743478
80,Salinas,2020-09-01,6.767391
81,Salinas,2020-10-01,9.834783
82,Salinas,2020-11-01,10.923913
83,Salinas,2020-12-01,12.5717395
75,Salinas,2020-04-01,3.55
72,Salinas,2020-01-01,10.647826
74,Salinas,2020-03-01,5.8333005
205,San Francisco,2020-02-01,10.443478
214,San Francisco,2020-11-01,10.923913
213,San Francisco,2020-10-01,9.834783
212,San Francisco,2020-09-01,6.767391
211,San Francisco,2020-08-01,4.743478
210,San Francisco,2020-07-01,3.178261
209,San Francisco,2020-06-01,3.395652
208,San Francisco,2020-05-01,3.404348
215,San Francisco,2020-12-01,12.5717395
204,San Francisco,2020-01-01,10.647826
207,San Francisco,2020-04-01,3.55
206,San Francisco,2020-03-01,5.8333005
12,San Jose,2020-01-01,10.647826
23,San Jose,2020-12-01,12.5717395
22,San Jose,2020-11-01,10.923913
21,San Jose,2020-10-01,9.834783
20,San Jose,2020-09-01,6.767391
19,San Jose,2020-08-01,4.743478
18,San Jose,2020-07-01,3.178261
17,San Jose,2020-06-01,3.395652
16,San Jose,2020-05-01,3.404348
15,San Jose,2020-04-01,3.55
13,San Jose,2020-02-01,10.443478
14,San Jose,2020-03-01,5.8333005
120,San Pablo,2020-01-01,10.647826
121,San Pablo,2020-02-01,10.443478
122,San Pablo,2020-03-01,5.8333005
123,San Pablo,2020-04-01,3.55
124,San Pablo,2020-05-01,3.404348
125,San Pablo,2020-06-01,3.395652
126,San Pablo,2020-07-01,3.178261
127,San Pablo,2020-08-01,4.743478
128,San Pablo,2020-09-01,6.767391
129,San Pablo,2020-10-01,9.834783
130,San Pablo,2020-11-01,10.923913
131,San Pablo,2020-12-01,12.5717395
71,San Rafael,2020-12-01,12.5717395
70,San Rafael,2020-11-01,10.923913
60,San Rafael,2020-01-01,10.647826
69,San Rafael,2020-10-01,9.834783
68,San Rafael,2020-09-01,6.767391
67,San Rafael,2020-08-01,4.743478
66,San Rafael,2020-07-01,3.178261
65,San Rafael,2020-06-01,3.395652
64,San Rafael,2020-05-01,3.404348
63,San Rafael,2020-04-01,3.55
62,San Rafael,2020-03-01,5.8333005
61,San Rafael,2020-02-01,10.443478
170,San Ramon,2020-03-01,5.8333005
179,San Ramon,2020-12-01,12.5717395
178,San Ramon,2020-11-01,10.923913
177,San Ramon,2020-10-01,9.834783
176,San Ramon,2020-09-01,6.767391
175,San Ramon,2020-08-01,4.743478
174,San Ramon,2020-07-01,3.178261
168,San Ramon,2020-01-01,10.647826
172,San Ramon,2020-05-01,3.404348
171,San Ramon,2020-04-01,3.55
169,San Ramon,2020-02-01,10.443478
173,San Ramon,2020-06-01,3.395652
162,Sebastopol,2020-07-01,3.178261
167,Sebastopol,2020-12-01,12.5717395
157,Sebastopol,2020-02-01,10.443478
158,Sebastopol,2020-03-01,5.8333005
159,Sebastopol,2020-04-01,3.55
160,Sebastopol,2020-05-01,3.404348
156,Sebastopol,2020-01-01,10.647826
163,Sebastopol,2020-08-01,4.743478
164,Sebastopol,2020-09-01,6.767391
165,Sebastopol,2020-10-01,9.834783
166,Sebastopol,2020-11-01,10.923913
161,Sebastopol,2020-06-01,3.395652
218,Stockton,2020-03-01,5.8333005
227,Stockton,2020-12-01,12.5717395
226,Stockton,2020-11-01,10.923913
225,Stockton,2020-10-01,9.834783
224,Stockton,2020-09-01,6.767391
223,Stockton,2020-08-01,4.743478
222,Stockton,2020-07-01,3.178261
221,Stockton,2020-06-01,3.395652
220,Stockton,2020-05-01,3.404348
219,Stockton,2020-04-01,3.55
217,Stockton,2020-02-01,10.443478
216,Stockton,2020-01-01,10.647826
239,Tracy,2020-12-01,12.5717395
237,Tracy,2020-10-01,9.834783
236,Tracy,2020-09-01,6.767391
235,Tracy,2020-08-01,4.743478
234,Tracy,2020-07-01,3.178261
233,Tracy,2020-06-01,3.395652
232,Tracy,2020-05-01,3.404348
231,Tracy,2020-04-01,3.55
230,Tracy,2020-03-01,5.8333005
229,Tracy,2020-02-01,10.443478
228,Tracy,2020-01-01,10.647826
238,Tracy,2020-11-01,10.923913
24,Vallejo,2020-01-01,10.647826
27,Vallejo,2020-04-01,3.55
28,Vallejo,2020-05-01,3.404348
29,Vallejo,2020-06-01,3.395652
30,Vallejo,2020-07-01,3.178261
31,Vallejo,2020-08-01,4.743478
32,Vallejo,2020-09-01,6.767391
33,Vallejo,2020-10-01,9.834783
34,Vallejo,2020-11-01,10.923913
35,Vallejo,2020-12-01,12.5717395
26,Vallejo,2020-03-01,5.8333005
25,Vallejo,2020-02-01,10.443478
